transaction_date,symboling,normalized-losses,make,aspiration,num-of-doors,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,price_minmax,city-L/100km,horsepower-binned,diesel,gas,body_style_convertible,body_style_hardtop,body_style_hatchback,body_style_sedan,body_style_wagon
2025-01-01,3,122,alfa-romero,std,two,rwd,front,88.6,0.8111484863046613,0.8902777777777777,48.8,2548,dohc,four,130,mpfi,3.47,2.68,9.0,111.0,5000.0,21,27,13495.0,0.20795888982672162,11.190476190476188,medium,0,1,1,0,0,0,0
2025-01-02,3,122,alfa-romero,std,two,rwd,front,88.6,0.8111484863046613,0.8902777777777777,48.8,2548,dohc,four,130,mpfi,3.47,2.68,9.0,111.0,5000.0,21,27,16500.0,0.2825579663373219,11.190476190476188,medium,0,1,1,0,0,0,0
2025-01-03,1,122,alfa-romero,std,two,rwd,front,94.5,0.8226814031715521,0.9097222222222222,52.4,2823,ohcv,six,152,mpfi,2.68,3.47,9.0,154.0,5000.0,19,26,16500.0,0.2825579663373219,12.36842105263158,medium,0,1,0,0,1,0,0
2025-01-04,2,164,audi,std,four,fwd,front,99.8,0.8486304661220567,0.9194444444444444,54.3,2337,ohc,four,109,mpfi,3.19,3.4,10.0,102.0,5500.0,24,30,13950.0,0.21925425748473262,9.791666666666666,medium,0,1,0,0,0,1,0
2025-01-05,2,164,audi,std,four,4wd,front,99.4,0.8486304661220567,0.9222222222222224,54.3,2824,ohc,five,136,mpfi,3.19,3.4,8.0,115.0,5500.0,18,22,17450.0,0.30614170100789434,13.055555555555555,medium,0,1,0,0,0,1,0
2025-01-06,2,122,audi,std,two,fwd,front,99.8,0.8519942335415667,0.9208333333333332,53.1,2507,ohc,five,136,mpfi,3.19,3.4,8.5,110.0,5500.0,19,25,15250.0,0.25152673650762125,12.36842105263158,medium,0,1,0,0,0,1,0
2025-01-07,1,158,audi,std,four,fwd,front,105.8,0.9259971167707832,0.9916666666666668,55.7,2844,ohc,five,136,mpfi,3.19,3.4,8.5,110.0,5500.0,19,25,17710.0,0.3125961968124721,12.36842105263158,medium,0,1,0,0,0,1,0
2025-01-08,1,122,audi,std,four,fwd,front,105.8,0.9259971167707832,0.9916666666666668,55.7,2954,ohc,five,136,mpfi,3.19,3.4,8.5,110.0,5500.0,19,25,18920.0,0.3426344272876223,12.36842105263158,medium,0,1,0,0,0,0,1
2025-01-09,1,158,audi,turbo,four,fwd,front,105.8,0.9259971167707832,0.9916666666666668,55.9,3086,ohc,five,131,mpfi,3.13,3.4,8.3,140.0,5500.0,17,20,23875.0,0.4656422223325555,13.823529411764708,medium,0,1,0,0,0,1,0
2025-01-10,2,192,bmw,std,two,rwd,front,101.2,0.8495915425276309,0.8999999999999999,54.3,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101.0,5800.0,23,29,16430.0,0.28082021746685865,10.217391304347826,low,0,1,0,0,0,1,0
